Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.73     0.00      134     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__ops::_Iter_comp_iter<mlx::matrix_schedule::Simulator::Impl::priority() const::{lambda(unsigned int, unsigned int)#1}> >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__ops::_Iter_comp_iter<mlx::matrix_schedule::Simulator::Impl::priority() const::{lambda(unsigned int, unsigned int)#1}>)
  0.00      2.73     0.00      134     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<mlx::matrix_schedule::Simulator::Impl::priority() const::{lambda(unsigned int, unsigned int)#1}> >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<mlx::matrix_schedule::Simulator::Impl::priority() const::{lambda(unsigned int, unsigned int)#1}>)
  0.00      2.73     0.00       96     0.00     0.00  mlx::model_events::PairFlow::admitted(unsigned long, unsigned long)
  0.00      2.73     0.00       96     0.00     0.00  mlx::model_events::PairFlow::completed(unsigned long, unsigned long, unsigned long)
  0.00      2.73     0.00       96     0.00     0.00  mlx::shared_array::Resources::admit(mlx::shared_array::Offer const&, unsigned long)
  0.00      2.73     0.00       96     0.00     0.00  mlx::shared_array::Resources::retire(mlx::shared_array::Lease const&)
  0.00      2.73     0.00       96     0.00     0.00  mlx::shared_array::Resources::client_info(unsigned long) const
  0.00      2.73     0.00       96     0.00     0.00  std::vector<mlx::shared_array::Resources::Template, std::allocator<mlx::shared_array::Resources::Template> >::_M_erase(__gnu_cxx::__normal_iterator<mlx::shared_array::Resources::Template*, std::vector<mlx::shared_array::Resources::Template, std::allocator<mlx::shared_array::Resources::Template> > >)
  0.00      2.73     0.00       69     0.00     0.00  void std::vector<unsigned int, std::allocator<unsigned int> >::_M_realloc_insert<unsigned int const&>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int const&)
  0.00      2.73     0.00       64     0.00     0.00  mlx::vector_schedule::Simulator::Impl::front(mlx::vector_schedule::(anonymous namespace)::Context const&) const
