Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.06     57.30     0.05                             VTestHarness::_sequent__TOP__3162(VTestHarness__Syms*)
  0.06     57.35     0.05                             VTestHarness::_sequent__TOP__3227(VTestHarness__Syms*)
  0.06     57.41     0.05                             VTestHarness::_sequent__TOP__3329(VTestHarness__Syms*)
  0.06     57.45     0.05                             VTestHarness::_sequent__TOP__3339(VTestHarness__Syms*)
  0.06     57.51     0.05                             VTestHarness::_sequent__TOP__3344(VTestHarness__Syms*)
  0.06     57.55     0.05                             VTestHarness::_sequent__TOP__3355(VTestHarness__Syms*)
  0.06     57.60     0.05                             VTestHarness::_sequent__TOP__3356(VTestHarness__Syms*)
  0.06     57.66     0.05                             VTestHarness::_sequent__TOP__3484(VTestHarness__Syms*)
  0.06     57.70     0.05                             VTestHarness::_sequent__TOP__3549(VTestHarness__Syms*)
  0.06     57.76     0.05                             main
  0.06     57.80     0.05                             mlx_wide_memory_tick
  0.06     57.85     0.04                             VTestHarness::_sequent__TOP__91(VTestHarness__Syms*)
  0.06     57.90     0.04                             VTestHarness::_settle__TOP__422(VTestHarness__Syms*)
  0.06     57.94     0.04                             VTestHarness::_sequent__TOP__2192(VTestHarness__Syms*)
  0.06     57.98     0.04                             VTestHarness::_sequent__TOP__2542(VTestHarness__Syms*)
  0.06     58.03     0.04                             VTestHarness::_sequent__TOP__2891(VTestHarness__Syms*)
  0.06     58.08     0.04                             VTestHarness::_sequent__TOP__2958(VTestHarness__Syms*)
  0.06     58.12     0.04                             VTestHarness::_sequent__TOP__2959(VTestHarness__Syms*)
  0.06     58.16     0.04                             VTestHarness::_sequent__TOP__3529(VTestHarness__Syms*)
  0.06     58.21     0.04                             VTestHarness::_sequent__TOP__3626(VTestHarness__Syms*)
  0.06     58.26     0.04                             VTestHarness::_sequent__TOP__3693(VTestHarness__Syms*)
  0.05     58.30     0.04                             VTestHarness::_sequent__TOP__89(VTestHarness__Syms*)
  0.05     58.34     0.04                             VTestHarness::_sequent__TOP__99(VTestHarness__Syms*)
  0.05     58.38     0.04                             VTestHarness::_settle__TOP__545(VTestHarness__Syms*)
  0.05     58.41     0.04                             VTestHarness::_settle__TOP__547(VTestHarness__Syms*)
  0.05     58.45     0.04                             VTestHarness::_settle__TOP__681(VTestHarness__Syms*)
  0.05     58.49     0.04                             VTestHarness::_sequent__TOP__115(VTestHarness__Syms*)
  0.05     58.53     0.04                             VTestHarness::_sequent__TOP__129(VTestHarness__Syms*)
  0.05     58.58     0.04                             VTestHarness::_sequent__TOP__166(VTestHarness__Syms*)
  0.05     58.62     0.04                             VTestHarness::_sequent__TOP__168(VTestHarness__Syms*)
  0.05     58.66     0.04                             VTestHarness::_settle__TOP__1061(VTestHarness__Syms*)
  0.05     58.70     0.04                             VTestHarness::_settle__TOP__1064(VTestHarness__Syms*)
  0.05     58.73     0.04                             VTestHarness::_settle__TOP__1068(VTestHarness__Syms*)
  0.05     58.77     0.04                             VTestHarness::_sequent__TOP__1952(VTestHarness__Syms*)
  0.05     58.81     0.04                             VTestHarness::_sequent__TOP__1954(VTestHarness__Syms*)
  0.05     58.85     0.04                             VTestHarness::_sequent__TOP__1961(VTestHarness__Syms*)
  0.05     58.90     0.04                             VTestHarness::_sequent__TOP__1978(VTestHarness__Syms*)
  0.05     58.94     0.04                             VTestHarness::_sequent__TOP__2036(VTestHarness__Syms*)
  0.05     58.98     0.04                             VTestHarness::_sequent__TOP__2061(VTestHarness__Syms*)
  0.05     59.02     0.04                             VTestHarness::_sequent__TOP__2071(VTestHarness__Syms*)
  0.05     59.05     0.04                             VTestHarness::_sequent__TOP__2114(VTestHarness__Syms*)
  0.05     59.09     0.04                             VTestHarness::_sequent__TOP__2118(VTestHarness__Syms*)
  0.05     59.13     0.04                             VTestHarness::_sequent__TOP__2177(VTestHarness__Syms*)
